지역명,동,평균
서울특별시 서초구 서초2동,서초2동,0.070023133
서울특별시 서초구 서초3동,서초3동,0.166348285
서울특별시 서초구 서초4동,서초4동,0.080418274
서울특별시 서초구 잠원동,잠원동,0.122388304
서울특별시 서초구 반포본동,반포본동,0.025198691
서울특별시 서초구 반포1동,반포1동,0.115564787
서울특별시 서초구 반포2동,반포2동,0.049782034
서울특별시 서초구 반포3동,반포3동,0.055356657
서울특별시 서초구 반포4동,반포4동,0.108338609
서울특별시 서초구 방배본동,방배본동,0.107699771
서울특별시 서초구 방배1동,방배1동,0.112903226
서울특별시 서초구 방배2동,방배2동,0.172886661
서울특별시 서초구 방배3동,방배3동,0.119002703
서울특별시 서초구 방배4동,방배4동,0.197754634
서울특별시 서초구 양재1동,양재1동,0.43672269
서울특별시 서초구 양재2동,양재2동,0.131240134
서울특별시 서초구 내곡동,내곡동,0.215639889
서울특별시 강남구 논현1동,논현1동,0.164326287
서울특별시 강남구 논현2동,논현2동,0.114400651
서울특별시 강남구 삼성1동,삼성1동,0.049670585
서울특별시 강남구 삼성2동,삼성2동,0.123542944
서울특별시 강남구 대치1동,대치1동,0.051415248
서울특별시 강남구 대치4동,대치4동,0.067163576
서울특별시 강남구 역삼1동,역삼1동,0.201689964
서울특별시 강남구 역삼2동,역삼2동,0.13624282
서울특별시 강남구 도곡1동,도곡1동,0.111492583
서울특별시 강남구 도곡2동,도곡2동,0.08773282
서울특별시 강남구 개포1동,개포1동,0.068723703
서울특별시 강남구 개포4동,개포4동,0.104455499
서울특별시 강남구 일원본동,일원본동,0.105477256
서울특별시 강남구 일원1동,일원1동,0.246739708
서울특별시 강남구 일원2동,일원2동,0.244009668
서울특별시 강남구 수서동,수서동,0.491375708
서울특별시 강남구 세곡동,세곡동,0.480051026
서울특별시 강남구 압구정동,압구정동,0.092072396
서울특별시 강남구 청담동,청담동,0.130392666
서울특별시 강남구 대치2동,대치2동,0.116250552
서울특별시 강남구 개포2동,개포2동,0.08582368
서울특별시 송파구 풍납1동,풍납1동,0.147304241
서울특별시 송파구 풍납2동,풍납2동,0.25507179
서울특별시 송파구 거여1동,거여1동,0.129677533
서울특별시 송파구 거여2동,거여2동,0.171381325
서울특별시 송파구 마천1동,마천1동,0.24119657
서울특별시 송파구 마천2동,마천2동,0.239237193
서울특별시 송파구 방이1동,방이1동,0.083788345
서울특별시 송파구 방이2동,방이2동,0.166444811
서울특별시 송파구 오륜동,오륜동,0.051856048
서울특별시 송파구 오금동,오금동,0.276699741
서울특별시 송파구 송파1동,송파1동,0.163723598
서울특별시 송파구 송파2동,송파2동,0.095569551
서울특별시 송파구 석촌동,석촌동,0.180806072
서울특별시 송파구 삼전동,삼전동,0.184357225
서울특별시 송파구 가락본동,가락본동,0.162603302
서울특별시 송파구 가락1동,가락1동,0.023579819
서울특별시 송파구 가락2동,가락2동,0.209127288
서울특별시 송파구 문정1동,문정1동,0.089360395
서울특별시 송파구 문정2동,문정2동,0.079412679
서울특별시 송파구 장지동,장지동,0.327643584
서울특별시 송파구 위례동,위례동,0.112248714
서울특별시 송파구 잠실본동,잠실본동,0.161964982
서울특별시 송파구 잠실4동,잠실4동,0.081170299
서울특별시 송파구 잠실6동,잠실6동,0.077470207
서울특별시 송파구 잠실7동,잠실7동,0.037651321
서울특별시 송파구 잠실2동,잠실2동,0.130325323
서울특별시 송파구 잠실3동,잠실3동,0.153945292
서울특별시 강동구 강일동,강일동,0.367255463
서울특별시 강동구 상일동,상일동,0.174537964
서울특별시 강동구 명일1동,명일1동,0.155066722
서울특별시 강동구 명일2동,명일2동,0.098210641
서울특별시 강동구 고덕1동,고덕1동,0.212486776
서울특별시 강동구 고덕2동,고덕2동,0.105543879
서울특별시 강동구 암사2동,암사2동,0.106752816
서울특별시 강동구 암사3동,암사3동,0.076593071
서울특별시 강동구 천호1동,천호1동,0.264996441
서울특별시 강동구 천호3동,천호3동,0.276840252
서울특별시 강동구 성내1동,성내1동,0.12830462
서울특별시 강동구 성내2동,성내2동,0.211243629
서울특별시 강동구 성내3동,성내3동,0.16890866
서울특별시 강동구 둔촌1동,둔촌1동,0.019962599
서울특별시 강동구 둔촌2동,둔촌2동,0.258275102
서울특별시 강동구 암사1동,암사1동,0.368346955
서울특별시 강동구 천호2동,천호2동,0.432373901
서울특별시 강동구 길동,길동,0.476656803
서울특별시 구로구 항동,항동,0.086068256
