지역명,동,평균
서울특별시 영등포구 당산1동,당산1동,103.8333333
서울특별시 영등포구 당산2동,당산2동,119.8333333
서울특별시 영등포구 양평1동,양평1동,77.5
서울특별시 영등포구 양평2동,양평2동,62.5
서울특별시 영등포구 신길1동,신길1동,96.16666667
서울특별시 영등포구 신길3동,신길3동,91.33333333
서울특별시 영등포구 신길4동,신길4동,57
서울특별시 영등포구 신길5동,신길5동,57.5
서울특별시 영등포구 신길6동,신길6동,84.33333333
서울특별시 영등포구 신길7동,신길7동,60.16666667
서울특별시 영등포구 대림1동,대림1동,86.16666667
서울특별시 영등포구 대림2동,대림2동,61.16666667
서울특별시 영등포구 대림3동,대림3동,118.5
서울특별시 영등포구 영등포본동,영등포본동,130.1666667
서울특별시 영등포구 영등포동,영등포동,107.8333333
서울특별시 영등포구 도림동,도림동,111.6666667
서울특별시 영등포구 문래동,문래동,91.16666667
서울특별시 동작구 노량진2동,노량진2동,83.83333333
서울특별시 동작구 상도1동,상도1동,209.1666667
서울특별시 동작구 상도2동,상도2동,98
서울특별시 동작구 상도3동,상도3동,109.1666667
서울특별시 동작구 상도4동,상도4동,135.1666667
서울특별시 동작구 사당1동,사당1동,94.5
서울특별시 동작구 사당3동,사당3동,72.16666667
서울특별시 동작구 사당4동,사당4동,70.66666667
서울특별시 동작구 사당5동,사당5동,55
서울특별시 동작구 대방동,대방동,160
서울특별시 동작구 신대방1동,신대방1동,79.5
서울특별시 동작구 신대방2동,신대방2동,67.16666667
서울특별시 동작구 흑석동,흑석동,117.1666667
서울특별시 동작구 노량진1동,노량진1동,132.8333333
서울특별시 동작구 사당2동,사당2동,116.8333333
서울특별시 관악구 보라매동,보라매동,126.8333333
서울특별시 관악구 청림동,청림동,78.66666667
서울특별시 관악구 행운동,행운동,118.5
서울특별시 관악구 낙성대동,낙성대동,48.5
서울특별시 관악구 중앙동,중앙동,71.33333333
서울특별시 관악구 인헌동,인헌동,91.66666667
서울특별시 관악구 남현동,남현동,53.66666667
서울특별시 관악구 서원동,서원동,113.3333333
서울특별시 관악구 신원동,신원동,93.33333333
서울특별시 관악구 서림동,서림동,94
서울특별시 관악구 신사동,신사동,110.1666667
서울특별시 관악구 신사동,신사동,110.1666667
서울특별시 강남구 신사동,신사동,31.83333333
서울특별시 강남구 신사동,신사동,31.83333333
서울특별시 관악구 신림동,신림동,89.66666667
서울특별시 관악구 난향동,난향동,77
서울특별시 관악구 조원동,조원동,88.83333333
서울특별시 관악구 대학동,대학동,86.5
서울특별시 관악구 은천동,은천동,199.1666667
서울특별시 관악구 성현동,성현동,171.8333333
서울특별시 관악구 청룡동,청룡동,114.5
서울특별시 관악구 난곡동,난곡동,189.3333333
서울특별시 관악구 삼성동,삼성동,132.8333333
서울특별시 관악구 미성동,미성동,154.8333333
서울특별시 서초구 서초1동,서초1동,44.83333333
서울특별시 서초구 서초2동,서초2동,40.66666667
서울특별시 서초구 서초3동,서초3동,83.33333333
서울특별시 서초구 서초4동,서초4동,45.83333333
서울특별시 서초구 잠원동,잠원동,66.5
서울특별시 서초구 반포본동,반포본동,18
서울특별시 서초구 반포1동,반포1동,64
서울특별시 서초구 반포2동,반포2동,30.5
서울특별시 서초구 반포3동,반포3동,33
서울특별시 서초구 반포4동,반포4동,37.83333333
서울특별시 서초구 방배본동,방배본동,60
서울특별시 서초구 방배1동,방배1동,62.66666667
서울특별시 서초구 방배2동,방배2동,92.33333333
서울특별시 서초구 방배3동,방배3동,65.66666667
서울특별시 서초구 방배4동,방배4동,105.1666667
서울특별시 서초구 양재1동,양재1동,197
서울특별시 서초구 양재2동,양재2동,69.5
서울특별시 서초구 내곡동,내곡동,104.8333333
서울특별시 강남구 논현1동,논현1동,88.5
서울특별시 강남구 논현2동,논현2동,63.16666667
서울특별시 강남구 삼성1동,삼성1동,26.33333333
서울특별시 강남구 삼성2동,삼성2동,68
서울특별시 강남구 대치1동,대치1동,31.16666667
서울특별시 강남구 대치4동,대치4동,39.33333333
서울특별시 강남구 역삼1동,역삼1동,84.66666667
서울특별시 강남구 역삼2동,역삼2동,74.5
서울특별시 강남구 도곡1동,도곡1동,41.33333333
서울특별시 강남구 도곡2동,도곡2동,49.83333333
서울특별시 강남구 개포1동,개포1동,40.16666667
서울특별시 강남구 개포4동,개포4동,58.33333333
서울특별시 강남구 일원본동,일원본동,43.5
서울특별시 강남구 일원1동,일원1동,102.6666667
서울특별시 강남구 일원2동,일원2동,118.6666667
서울특별시 강남구 수서동,수서동,213.6666667
서울특별시 강남구 세곡동,세곡동,204.3333333
서울특별시 강남구 압구정동,압구정동,51.66666667
서울특별시 강남구 청담동,청담동,71.33333333
서울특별시 강남구 대치2동,대치2동,63.66666667
서울특별시 강남구 개포2동,개포2동,48.83333333
서울특별시 송파구 풍납1동,풍납1동,80.16666667
서울특별시 송파구 풍납2동,풍납2동,78
서울특별시 송파구 거여1동,거여1동,69.83333333
서울특별시 송파구 거여2동,거여2동,91.16666667
서울특별시 송파구 마천1동,마천1동,127.6666667
서울특별시 송파구 마천2동,마천2동,125
서울특별시 송파구 방이1동,방이1동,47.83333333
서울특별시 송파구 방이2동,방이2동,82.66666667
서울특별시 송파구 오륜동,오륜동,27.33333333
서울특별시 송파구 오금동,오금동,133.1666667
서울특별시 송파구 송파1동,송파1동,88.5
서울특별시 송파구 송파2동,송파2동,53.83333333
서울특별시 송파구 석촌동,석촌동,96.33333333
서울특별시 송파구 삼전동,삼전동,98.83333333
서울특별시 송파구 가락본동,가락본동,75.5
서울특별시 송파구 가락1동,가락1동,17.16666667
서울특별시 송파구 가락2동,가락2동,111.6666667
서울특별시 송파구 문정1동,문정1동,50.66666667
서울특별시 송파구 문정2동,문정2동,42.5
서울특별시 송파구 장지동,장지동,139.3333333
서울특별시 송파구 위례동,위례동,62.33333333
서울특별시 송파구 잠실본동,잠실본동,87.16666667
서울특별시 송파구 잠실4동,잠실4동,46.5
서울특별시 송파구 잠실6동,잠실6동,43
서울특별시 송파구 잠실7동,잠실7동,23.83333333
서울특별시 송파구 잠실2동,잠실2동,68.5
서울특별시 송파구 잠실3동,잠실3동,81.5
서울특별시 강동구 강일동,강일동,163.3333333
서울특별시 강동구 상일동,상일동,54
서울특별시 강동구 명일1동,명일1동,74.33333333
서울특별시 강동구 명일2동,명일2동,55
서울특별시 강동구 고덕1동,고덕1동,71.33333333
서울특별시 강동구 고덕2동,고덕2동,58.83333333
서울특별시 강동구 암사2동,암사2동,59.5
서울특별시 강동구 암사3동,암사3동,44.16666667
서울특별시 강동구 천호1동,천호1동,138.5
서울특별시 강동구 천호3동,천호3동,144
서울특별시 강동구 성내1동,성내1동,69.83333333
서울특별시 강동구 성내2동,성내2동,109.5
서울특별시 강동구 성내3동,성내3동,90.16666667
서울특별시 강동구 둔촌1동,둔촌1동,15.33333333
서울특별시 강동구 둔촌2동,둔촌2동,86.66666667
서울특별시 강동구 암사1동,암사1동,186.8333333
서울특별시 강동구 천호2동,천호2동,202
서울특별시 강동구 길동,길동,211.6666667
서울특별시 구로구 항동,항동,49
