,지역명,동,평균,승차건수
367,서울특별시 강남구 역삼2동,역삼2동,74.5,48.0
368,서울특별시 강남구 도곡1동,도곡1동,41.33333333,18604.0
369,서울특별시 강남구 도곡2동,도곡2동,49.83333333,13.0
370,서울특별시 강남구 개포1동,개포1동,40.16666667,0.0
371,서울특별시 강남구 개포4동,개포4동,58.33333333,28.0
372,서울특별시 강남구 일원본동,일원본동,43.5,13884.0
373,서울특별시 강남구 일원1동,일원1동,102.66666670000001,25414.0
374,서울특별시 강남구 일원2동,일원2동,118.66666670000001,9720.0
375,서울특별시 강남구 수서동,수서동,213.66666669999998,37678.0
376,서울특별시 강남구 세곡동,세곡동,204.33333330000002,40896.0
377,서울특별시 강남구 압구정동,압구정동,51.66666667,353.0
378,서울특별시 강남구 청담동,청담동,71.33333333,217.0
379,서울특별시 강남구 대치2동,대치2동,63.66666667,636.0
380,서울특별시 강남구 개포2동,개포2동,48.83333333,38.0
381,서울특별시 송파구 풍납1동,풍납1동,80.16666667,18.0
382,서울특별시 송파구 풍납2동,풍납2동,78.0,51504.0
383,서울특별시 송파구 거여1동,거여1동,69.83333333,1242.0
384,서울특별시 송파구 거여2동,거여2동,91.16666667,1157.0
385,서울특별시 송파구 마천1동,마천1동,127.66666670000001,305.0
386,서울특별시 송파구 마천2동,마천2동,125.0,1811.0
387,서울특별시 송파구 방이1동,방이1동,47.83333333,5.0
388,서울특별시 송파구 방이2동,방이2동,82.66666667,6559.0
389,서울특별시 송파구 오륜동,오륜동,27.33333333,3829.0
390,서울특별시 송파구 오금동,오금동,133.1666667,11659.0
391,서울특별시 송파구 송파1동,송파1동,88.5,44.0
392,서울특별시 송파구 송파2동,송파2동,53.83333333,5.0
393,서울특별시 송파구 석촌동,석촌동,96.33333333,826.0
394,서울특별시 송파구 삼전동,삼전동,98.83333333,202.0
395,서울특별시 송파구 가락본동,가락본동,75.5,11261.0
396,서울특별시 송파구 가락1동,가락1동,17.16666667,8.0
397,서울특별시 송파구 가락2동,가락2동,111.66666670000001,5.0
398,서울특별시 송파구 문정1동,문정1동,50.66666667,9.0
399,서울특별시 송파구 문정2동,문정2동,42.5,2807.0
400,서울특별시 송파구 장지동,장지동,139.33333330000002,29508.0
401,서울특별시 송파구 위례동,위례동,62.33333333,0.0
402,서울특별시 송파구 잠실본동,잠실본동,87.16666667,439.0
403,서울특별시 송파구 잠실4동,잠실4동,46.5,5.0
404,서울특별시 송파구 잠실6동,잠실6동,43.0,1463.0
405,서울특별시 송파구 잠실7동,잠실7동,23.83333333,459.0
406,서울특별시 송파구 잠실2동,잠실2동,68.5,2743.0
407,서울특별시 송파구 잠실3동,잠실3동,81.5,1867.0
408,서울특별시 강동구 강일동,강일동,163.33333330000002,26055.0
409,서울특별시 강동구 상일동,상일동,54.0,36149.0
410,서울특별시 강동구 명일1동,명일1동,74.33333333,8850.0
411,서울특별시 강동구 명일2동,명일2동,55.0,166.0
412,서울특별시 강동구 고덕1동,고덕1동,71.33333333,37948.0
413,서울특별시 강동구 고덕2동,고덕2동,58.83333333,77.0
414,서울특별시 강동구 암사2동,암사2동,59.5,31.0
